Driver_name,GrandPrix_name,0
Alexander Albon,Abu Dhabi Grand Prix,100655.06586826347
Alexander Albon,Australian Grand Prix,91499.3652173913
Alexander Albon,Austrian Grand Prix,72896.30935251799
Alexander Albon,Azerbaijan Grand Prix,111840.5
Alexander Albon,Bahrain Grand Prix,94248.0
Alexander Albon,Belgian Grand Prix,117070.4696969697
Alexander Albon,British Grand Prix,96661.28846153847
Alexander Albon,Canadian Grand Prix,81496.53488372093
Alexander Albon,Dutch Grand Prix,81016.15277777778
Alexander Albon,Emilia Romagna Grand Prix,87293.416
Alexander Albon,Hungarian Grand Prix,84922.58653846153
Alexander Albon,Italian Grand Prix,104241.21698113208
Alexander Albon,Japanese Grand Prix,95505.61538461539
Alexander Albon,Mexico City Grand Prix,83630.74468085106
Alexander Albon,Miami Grand Prix,99940.75438596492
Alexander Albon,Monaco Grand Prix,95772.61111111111
Alexander Albon,Saudi Arabian Grand Prix,103261.76595744681
Alexander Albon,Singapore Grand Prix,121165.83720930232
Alexander Albon,Spanish Grand Prix,88316.40512820512
Alexander Albon,São Paulo Grand Prix,81406.09154929577
Alexander Albon,United States Grand Prix,106432.45535714286
Carlos Sainz,Abu Dhabi Grand Prix,103424.83783783784
Carlos Sainz,Australian Grand Prix,94890.19305019305
Carlos Sainz,Austrian Grand Prix,72936.8280254777
Carlos Sainz,Azerbaijan Grand Prix,130530.18106995885
Carlos Sainz,Bahrain Grand Prix,94039.31722689075
Carlos Sainz,Belgian Grand Prix,120160.53614457832
Carlos Sainz,British Grand Prix,113865.41578947369
Carlos Sainz,Canadian Grand Prix,83045.51204819277
Carlos Sainz,Dutch Grand Prix,78822.27272727272
Carlos Sainz,Emilia Romagna Grand Prix,87358.68333333333
Carlos Sainz,Hungarian Grand Prix,89168.74678899083
Carlos Sainz,Italian Grand Prix,94061.75696202532
Carlos Sainz,Japanese Grand Prix,99805.51923076923
Carlos Sainz,Mexico City Grand Prix,85256.24829157176
Carlos Sainz,Miami Grand Prix,99517.31578947368
Carlos Sainz,Monaco Grand Prix,86962.07915057916
Carlos Sainz,Qatar Grand Prix,117168.79365079365
Carlos Sainz,Saudi Arabian Grand Prix,126891.14
Carlos Sainz,Singapore Grand Prix,119629.98050139275
Carlos Sainz,Spanish Grand Prix,89413.12090163934
Carlos Sainz,São Paulo Grand Prix,91525.03773584905
Carlos Sainz,United States Grand Prix,106142.70833333333
Charles Leclerc,Abu Dhabi Grand Prix,101146.8892857143
Charles Leclerc,Australian Grand Prix,91385.8908045977
Charles Leclerc,Austrian Grand Prix,72183.09112149532
Charles Leclerc,Azerbaijan Grand Prix,127791.66091954023
Charles Leclerc,Bahrain Grand Prix,105843.64184397164
Charles Leclerc,Belgian Grand Prix,117232.33082706766
Charles Leclerc,British Grand Prix,115548.54316546762
Charles Leclerc,Canadian Grand Prix,79708.2270531401
Charles Leclerc,Dutch Grand Prix,78572.56643356643
Charles Leclerc,Emilia Romagna Grand Prix,87798.88524590163
Charles Leclerc,Hungarian Grand Prix,84085.96650717703
Charles Leclerc,Italian Grand Prix,89881.2905982906
Charles Leclerc,Japanese Grand Prix,107348.68376068377
Charles Leclerc,Mexico City Grand Prix,84188.79432624113
Charles Leclerc,Miami Grand Prix,99439.36842105263
Charles Leclerc,Monaco Grand Prix,93465.62
Charles Leclerc,Qatar Grand Prix,117145.66666666667
Charles Leclerc,Saudi Arabian Grand Prix,126794.35
Charles Leclerc,Singapore Grand Prix,117591.49444444444
Charles Leclerc,Spanish Grand Prix,87722.40229885057
Charles Leclerc,São Paulo Grand Prix,78395.39208633093
Charles Leclerc,United States Grand Prix,104766.79396984924
Esteban Ocon,Abu Dhabi Grand Prix,102800.71296296296
Esteban Ocon,Australian Grand Prix,92336.66860465116
Esteban Ocon,Austrian Grand Prix,72497.05570291777
Esteban Ocon,Azerbaijan Grand Prix,129349.53333333334
Esteban Ocon,Bahrain Grand Prix,95885.42547425475
Esteban Ocon,Belgian Grand Prix,122972.48181818181
Esteban Ocon,British Grand Prix,116087.62711864407
Esteban Ocon,Canadian Grand Prix,81026.21739130435
Esteban Ocon,Dutch Grand Prix,78869.61538461539
Esteban Ocon,Emilia Romagna Grand Prix,88410.12328767123
Esteban Ocon,Hungarian Grand Prix,90182.112716763
Esteban Ocon,Italian Grand Prix,95431.34810126582
Esteban Ocon,Japanese Grand Prix,105615.97849462366
Esteban Ocon,Mexico City Grand Prix,85574.81896551725
Esteban Ocon,Miami Grand Prix,99870.94736842105
Esteban Ocon,Monaco Grand Prix,85947.31986531986
Esteban Ocon,Qatar Grand Prix,117782.57142857143
Esteban Ocon,Saudi Arabian Grand Prix,127180.61
Esteban Ocon,Singapore Grand Prix,124957.52447552448
Esteban Ocon,Spanish Grand Prix,88394.82943143812
Esteban Ocon,São Paulo Grand Prix,98223.0425531915
Esteban Ocon,United States Grand Prix,106288.6641221374
Fernando Alonso,Abu Dhabi Grand Prix,106947.02694136291
Fernando Alonso,Australian Grand Prix,94675.48712667353
Fernando Alonso,Austrian Grand Prix,73613.55421686747
Fernando Alonso,Azerbaijan Grand Prix,131002.05691056911
Fernando Alonso,Bahrain Grand Prix,99586.3701863354
Fernando Alonso,Belgian Grand Prix,120191.49190283401
Fernando Alonso,British Grand Prix,104630.08169291339
Fernando Alonso,Canadian Grand Prix,90956.71902654867
Fernando Alonso,Dutch Grand Prix,78827.90909090909
Fernando Alonso,Emilia Romagna Grand Prix,87376.99683544303
Fernando Alonso,Hungarian Grand Prix,88969.54560394412
Fernando Alonso,Italian Grand Prix,89680.84772727273
Fernando Alonso,Japanese Grand Prix,101953.63716814159
Fernando Alonso,Mexico City Grand Prix,85179.07942238267
Fernando Alonso,Miami Grand Prix,99848.87719298246
Fernando Alonso,Monaco Grand Prix,87204.67040898156
Fernando Alonso,Qatar Grand Prix,117796.1746031746
Fernando Alonso,Saudi Arabian Grand Prix,133514.85714285713
Fernando Alonso,Singapore Grand Prix,118044.65238879736
Fernando Alonso,Spanish Grand Prix,88420.83220338983
Fernando Alonso,São Paulo Grand Prix,84335.58876961189
Fernando Alonso,United States Grand Prix,108549.88536585365
George Russell,Abu Dhabi Grand Prix,100714.51041666667
George Russell,Australian Grand Prix,91834.61403508772
George Russell,Austrian Grand Prix,72469.5054945055
George Russell,Azerbaijan Grand Prix,113650.13513513513
George Russell,Bahrain Grand Prix,95856.14147909968
George Russell,Belgian Grand Prix,118290.01030927835
George Russell,British Grand Prix,107974.03414634147
George Russell,Canadian Grand Prix,81114.9420289855
George Russell,Dutch Grand Prix,79447.46808510639
George Russell,Emilia Romagna Grand Prix,87817.45562130178
George Russell,Hungarian Grand Prix,90837.85920577617
George Russell,Italian Grand Prix,98555.00947867299
George Russell,Japanese Grand Prix,110969.78205128205
George Russell,Mexico City Grand Prix,85072.45454545454
George Russell,Miami Grand Prix,99698.94736842105
George Russell,Monaco Grand Prix,88282.68348623853
George Russell,Qatar Grand Prix,101981.56666666667
George Russell,Saudi Arabian Grand Prix,122197.890625
George Russell,Singapore Grand Prix,122118.95604395604
George Russell,Spanish Grand Prix,87795.93103448275
George Russell,São Paulo Grand Prix,80770.09433962264
George Russell,United States Grand Prix,106523.57575757576
Kevin Magnussen,Abu Dhabi Grand Prix,105864.51951951953
Kevin Magnussen,Australian Grand Prix,97664.57575757576
Kevin Magnussen,Austrian Grand Prix,72699.37843551797
Kevin Magnussen,Azerbaijan Grand Prix,121787.51072961373
Kevin Magnussen,Bahrain Grand Prix,96997.16306954436
Kevin Magnussen,Belgian Grand Prix,117275.27340823971
Kevin Magnussen,British Grand Prix,123967.70163934426
Kevin Magnussen,Canadian Grand Prix,81799.42718446603
Kevin Magnussen,Dutch Grand Prix,81106.13888888889
Kevin Magnussen,Emilia Romagna Grand Prix,85983.79090909091
Kevin Magnussen,Hungarian Grand Prix,87650.10950413223
Kevin Magnussen,Italian Grand Prix,90230.04984423675
Kevin Magnussen,Japanese Grand Prix,115352.46808510639
Kevin Magnussen,Mexico City Grand Prix,85446.80459770115
Kevin Magnussen,Miami Grand Prix,100158.26785714286
Kevin Magnussen,Monaco Grand Prix,85708.63434903047
Kevin Magnussen,Saudi Arabian Grand Prix,102472.02
Kevin Magnussen,Singapore Grand Prix,120791.32
Kevin Magnussen,Spanish Grand Prix,90286.46916299559
Kevin Magnussen,São Paulo Grand Prix,96038.25
Kevin Magnussen,United States Grand Prix,106351.63939393939
Lance Stroll,Abu Dhabi Grand Prix,102936.37461300309
Lance Stroll,Australian Grand Prix,92256.33333333333
Lance Stroll,Austrian Grand Prix,71480.13725490196
Lance Stroll,Azerbaijan Grand Prix,121430.53947368421
Lance Stroll,Bahrain Grand Prix,95010.26380368098
Lance Stroll,Belgian Grand Prix,117738.3
Lance Stroll,British Grand Prix,112712.59668508287
Lance Stroll,Canadian Grand Prix,80738.41826923077
Lance Stroll,Dutch Grand Prix,79210.90845070423
Lance Stroll,Emilia Romagna Grand Prix,88069.31868131868
Lance Stroll,Hungarian Grand Prix,85811.06976744186
Lance Stroll,Italian Grand Prix,94758.97682119206
Lance Stroll,Japanese Grand Prix,105285.1875
Lance Stroll,Mexico City Grand Prix,84869.41666666667
Lance Stroll,Miami Grand Prix,100022.52631578948
Lance Stroll,Monaco Grand Prix,85546.00547945205
Lance Stroll,Qatar Grand Prix,117563.60317460318
Lance Stroll,Saudi Arabian Grand Prix,128547.38383838384
Lance Stroll,Singapore Grand Prix,120752.72268907563
Lance Stroll,Spanish Grand Prix,88113.3242506812
Lance Stroll,São Paulo Grand Prix,79813.21806853583
Lance Stroll,United States Grand Prix,104671.50833333333
Lando Norris,Abu Dhabi Grand Prix,99200.20444444445
Lando Norris,Australian Grand Prix,91261.82608695653
Lando Norris,Austrian Grand Prix,72075.7304964539
Lando Norris,Azerbaijan Grand Prix,126620.07189542483
Lando Norris,Bahrain Grand Prix,95161.90445859873
Lando Norris,Belgian Grand Prix,117917.40151515152
Lando Norris,British Grand Prix,117338.23461538462
Lando Norris,Canadian Grand Prix,83014.19230769231
Lando Norris,Dutch Grand Prix,78879.74825174826
Lando Norris,Emilia Romagna Grand Prix,87722.8956043956
Lando Norris,Hungarian Grand Prix,85443.41904761904
Lando Norris,Italian Grand Prix,98165.73933649289
Lando Norris,Japanese Grand Prix,110370.75949367089
Lando Norris,Mexico City Grand Prix,85467.16489361702
Lando Norris,Miami Grand Prix,96139.53846153847
Lando Norris,Monaco Grand Prix,87427.18636363637
Lando Norris,Qatar Grand Prix,117115.87301587302
Lando Norris,Saudi Arabian Grand Prix,127518.93
Lando Norris,Singapore Grand Prix,120748.39166666666
Lando Norris,Spanish Grand Prix,86767.6
Lando Norris,São Paulo Grand Prix,80148.277486911
Lando Norris,United States Grand Prix,105195.45238095238
Lewis Hamilton,Abu Dhabi Grand Prix,104716.02136752137
Lewis Hamilton,Australian Grand Prix,94051.51291989665
Lewis Hamilton,Austrian Grand Prix,72202.43523316062
Lewis Hamilton,Azerbaijan Grand Prix,126016.06862745098
Lewis Hamilton,Bahrain Grand Prix,101069.23193473193
Lewis Hamilton,Belgian Grand Prix,118181.52040816327
Lewis Hamilton,British Grand Prix,107786.65193370165
Lewis Hamilton,Canadian Grand Prix,82415.39050131926
Lewis Hamilton,Dutch Grand Prix,78070.25
Lewis Hamilton,Emilia Romagna Grand Prix,87495.41758241758
Lewis Hamilton,Hungarian Grand Prix,88066.82446311858
Lewis Hamilton,Italian Grand Prix,91545.37206266318
Lewis Hamilton,Japanese Grand Prix,105907.22162162162
Lewis Hamilton,Mexico City Grand Prix,84048.22379032258
Lewis Hamilton,Miami Grand Prix,99747.82456140351
Lewis Hamilton,Monaco Grand Prix,87664.47765118317
Lewis Hamilton,Qatar Grand Prix,117088.85714285714
Lewis Hamilton,Saudi Arabian Grand Prix,127083.59
Lewis Hamilton,Singapore Grand Prix,118289.86002886003
Lewis Hamilton,Spanish Grand Prix,88893.82274590163
Lewis Hamilton,São Paulo Grand Prix,83837.27886497065
Lewis Hamilton,United States Grand Prix,105421.88035714286
Max Verstappen,Abu Dhabi Grand Prix,102556.34157303371
Max Verstappen,Australian Grand Prix,93677.88181818182
Max Verstappen,Austrian Grand Prix,71630.01211072665
Max Verstappen,Azerbaijan Grand Prix,111682.32931726908
Max Verstappen,Bahrain Grand Prix,100884.49175824175
Max Verstappen,Belgian Grand Prix,121991.27753303965
Max Verstappen,British Grand Prix,108478.26944444445
Max Verstappen,Canadian Grand Prix,81658.675
Max Verstappen,Dutch Grand Prix,77834.5
Max Verstappen,Emilia Romagna Grand Prix,85916.75294117647
Max Verstappen,Hungarian Grand Prix,88994.2914979757
