circuitId,Circuit_name,GrandPrix_name,location,country,Laps,url
1,Albert Park Grand Prix Circuit,Australian Grand Prix,Melbourne,Australia,58,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,Bahrain International Circuit,Bahrain Grand Prix,Sakhir,Bahrain,57,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
3,Circuit de Barcelona-Catalunya,Spanish Grand Prix,Montmeló,Spain,66,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
4,Circuit de Monaco,Monaco Grand Prix,Monte-Carlo,Monaco,78,http://en.wikipedia.org/wiki/Circuit_de_Monaco
5,Circuit Gilles Villeneuve,Canadian Grand Prix,Montreal,Canada,70,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
6,Silverstone Circuit,British Grand Prix,Silverstone,UK,52,http://en.wikipedia.org/wiki/Silverstone_Circuit
7,Hungaroring,Hungarian Grand Prix,Budapest,Hungary,70,http://en.wikipedia.org/wiki/Hungaroring
8,Circuit de Spa-Francorchamps,Belgian Grand Prix,Spa,Belgium,44,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
9,Autodromo Nazionale di Monza,Italian Grand Prix,Monza,Italy,53,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
10,Marina Bay Street Circuit,Singapore Grand Prix,Marina Bay,Singapore,63,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
11,Autódromo José Carlos Pace,São Paulo Grand Prix,São Paulo,Brazil,71,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
12,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,Imola,Italy,63,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
13,Suzuka Circuit,Japanese Grand Prix,Suzuka,Japan,53,http://en.wikipedia.org/wiki/Suzuka_Circuit
14,Yas Marina Circuit,Abu Dhabi Grand Prix,Abu Dhabi,UAE,58,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
15,Autódromo Hermanos Rodríguez,Mexico City Grand Prix,Mexico City,Mexico,71,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
16,Circuit Park Zandvoort,Dutch Grand Prix,Zandvoort,Netherlands,72,http://en.wikipedia.org/wiki/Circuit_Zandvoort
17,Las Vegas Street Circuit,Las Vegas Grand Prix,Nevada,USA,50,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit
18,Circuit of the Americas,United States Grand Prix,Austin,USA,56,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
19,Red Bull Ring,Austrian Grand Prix,Spielberg,Austria,71,http://en.wikipedia.org/wiki/Red_Bull_Ring
20,Baku City Circuit,Azerbaijan Grand Prix,Baku,Azerbaijan,51,http://en.wikipedia.org/wiki/Baku_City_Circuit
21,Jeddah Corniche Circuit,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,50,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
22,Losail International Circuit,Qatar Grand Prix,Al Daayen,Qatar,57,http://en.wikipedia.org/wiki/Losail_International_Circuit
23,Miami International Autodrome,Miami Grand Prix,Miami,USA,57,http://en.wikipedia.org/wiki/Miami_International_Autodrome
