constructorResultsId,constructorId,GP_year,GrandPrix_name,Circuit_name,points,GP_Id
1,McLaren,2008,Australian Grand Prix,Albert Park Grand Prix Circuit,14,18
2,Williams,2008,Australian Grand Prix,Albert Park Grand Prix Circuit,9,18
3,Ferrari,2008,Australian Grand Prix,Albert Park Grand Prix Circuit,1,18
4,Red Bull,2008,Australian Grand Prix,Albert Park Grand Prix Circuit,0,18
5,Ferrari,2008,Bahrain Grand Prix,Bahrain International Circuit,18,20
6,McLaren,2008,Bahrain Grand Prix,Bahrain International Circuit,4,20
7,Red Bull,2008,Bahrain Grand Prix,Bahrain International Circuit,2,20
8,Williams,2008,Bahrain Grand Prix,Bahrain International Circuit,1,20
9,Ferrari,2008,Spanish Grand Prix,Circuit de Barcelona-Catalunya,18,21
10,McLaren,2008,Spanish Grand Prix,Circuit de Barcelona-Catalunya,6,21
11,Red Bull,2008,Spanish Grand Prix,Circuit de Barcelona-Catalunya,4,21
12,Williams,2008,Spanish Grand Prix,Circuit de Barcelona-Catalunya,2,21
13,McLaren,2008,Monaco Grand Prix,Circuit de Monaco,11,23
14,Ferrari,2008,Monaco Grand Prix,Circuit de Monaco,6,23
15,Red Bull,2008,Monaco Grand Prix,Circuit de Monaco,5,23
16,Williams,2008,Monaco Grand Prix,Circuit de Monaco,2,23
17,Red Bull,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,6,24
18,Ferrari,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,4,24
19,McLaren,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,0,24
20,Williams,2008,Canadian Grand Prix,Circuit Gilles Villeneuve,0,24
21,McLaren,2008,British Grand Prix,Silverstone Circuit,14,26
22,Ferrari,2008,British Grand Prix,Silverstone Circuit,5,26
23,Williams,2008,British Grand Prix,Silverstone Circuit,1,26
24,Red Bull,2008,British Grand Prix,Silverstone Circuit,0,26
25,McLaren,2008,Hungarian Grand Prix,Hungaroring,14,28
26,Ferrari,2008,Hungarian Grand Prix,Hungaroring,6,28
27,Red Bull,2008,Hungarian Grand Prix,Hungaroring,0,28
28,Williams,2008,Hungarian Grand Prix,Hungaroring,0,28
29,Ferrari,2008,Belgian Grand Prix,Circuit de Spa-Francorchamps,10,30
30,McLaren,2008,Belgian Grand Prix,Circuit de Spa-Francorchamps,6,30
31,Red Bull,2008,Belgian Grand Prix,Circuit de Spa-Francorchamps,1,30
