constructorStandingsId,Constructor_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
1,Ferrari,1958,10,Italian Grand Prix,40,2,2,774
2,Ferrari,1958,7,British Grand Prix,36,1,2,771
3,Ferrari,1958,5,Belgian Grand Prix,20,1,0,769
4,Ferrari,1958,2,Monaco Grand Prix,12,2,0,766
5,Ferrari,1958,3,Dutch Grand Prix,14,2,0,767
6,Aston Martin,1959,8,Italian Grand Prix,0,5,0,763
7,Aston Martin,1959,3,Dutch Grand Prix,0,7,0,758
8,Ferrari,1959,3,Dutch Grand Prix,8,3,0,758
9,Ferrari,1959,1,Monaco Grand Prix,6,2,0,756
10,Ferrari,1959,8,Italian Grand Prix,32,2,2,763
11,Aston Martin,1960,9,Italian Grand Prix,0,9,0,754
12,Ferrari,1960,9,Italian Grand Prix,26,3,1,754
13,Ferrari,1960,7,British Grand Prix,16,3,0,752
14,Aston Martin,1960,7,British Grand Prix,0,6,0,752
15,Ferrari,1960,5,Belgian Grand Prix,15,3,0,750
16,Aston Martin,1960,5,Belgian Grand Prix,0,9,0,750
17,Ferrari,1960,4,Dutch Grand Prix,12,3,0,749
18,Aston Martin,1960,4,Dutch Grand Prix,0,8,0,749
19,Ferrari,1960,2,Monaco Grand Prix,10,2,0,747
20,Ferrari,1961,1,Monaco Grand Prix,6,2,0,738
21,Ferrari,1961,3,Belgian Grand Prix,24,1,2,740
22,Ferrari,1961,7,Italian Grand Prix,45,1,5,744
23,Ferrari,1961,2,Dutch Grand Prix,15,1,1,739
24,Ferrari,1962,1,Dutch Grand Prix,4,3,0,729
25,Ferrari,1962,2,Monaco Grand Prix,10,3,0,730
26,Ferrari,1962,3,Belgian Grand Prix,14,3,0,731
27,Ferrari,1962,7,Italian Grand Prix,18,5,0,735
28,Ferrari,1963,1,Monaco Grand Prix,3,3,0,719
29,Ferrari,1963,2,Belgian Grand Prix,3,5,0,720
30,Ferrari,1963,5,British Grand Prix,13,5,0,723
31,Ferrari,1963,9,Mexico City Grand Prix,24,3,1,727
32,Ferrari,1963,7,Italian Grand Prix,22,3,1,725
33,Ferrari,1963,3,Dutch Grand Prix,7,5,0,721
34,Ferrari,1964,2,Dutch Grand Prix,6,3,0,710
35,Ferrari,1964,1,Monaco Grand Prix,0,6,0,709
36,Ferrari,1964,10,Mexico City Grand Prix,45,1,3,718
37,Ferrari,1964,8,Italian Grand Prix,37,1,3,716
38,Ferrari,1964,3,Belgian Grand Prix,6,4,0,711
39,Alfa Romeo,1965,2,Monaco Grand Prix,0,8,0,700
40,Ferrari,1965,2,Monaco Grand Prix,12,2,0,700
41,Alfa Romeo,1965,3,Belgian Grand Prix,0,9,0,701
42,Alfa Romeo,1965,5,British Grand Prix,0,9,0,703
43,Ferrari,1965,5,British Grand Prix,20,3,0,703
44,Alfa Romeo,1965,6,Dutch Grand Prix,0,10,0,704
45,Alfa Romeo,1965,8,Italian Grand Prix,0,10,0,706
