driverStandingsId,Driver_code,Driver_code,Driver_name,GP_year,Round,GrandPrix_name,points,position,wins,GP_Id
1,44,HAM,Lewis Hamilton,2008,1,Australian Grand Prix,10,1,1,18
2,14,ALO,Fernando Alonso,2008,1,Australian Grand Prix,5,4,0,18
3,44,HAM,Lewis Hamilton,2008,3,Bahrain Grand Prix,14,3,1,20
4,14,ALO,Fernando Alonso,2008,3,Bahrain Grand Prix,6,9,0,20
5,44,HAM,Lewis Hamilton,2008,4,Spanish Grand Prix,20,2,1,21
6,14,ALO,Fernando Alonso,2008,4,Spanish Grand Prix,6,10,0,21
7,44,HAM,Lewis Hamilton,2008,6,Monaco Grand Prix,38,1,2,23
8,14,ALO,Fernando Alonso,2008,6,Monaco Grand Prix,9,8,0,23
9,44,HAM,Lewis Hamilton,2008,7,Canadian Grand Prix,38,2,2,24
10,14,ALO,Fernando Alonso,2008,7,Canadian Grand Prix,9,9,0,24
11,44,HAM,Lewis Hamilton,2008,9,British Grand Prix,48,1,3,26
12,14,ALO,Fernando Alonso,2008,9,British Grand Prix,13,9,0,26
13,44,HAM,Lewis Hamilton,2008,11,Hungarian Grand Prix,62,1,4,28
14,14,ALO,Fernando Alonso,2008,11,Hungarian Grand Prix,18,8,0,28
15,44,HAM,Lewis Hamilton,2008,13,Belgian Grand Prix,76,1,4,30
16,14,ALO,Fernando Alonso,2008,13,Belgian Grand Prix,23,8,0,30
17,44,HAM,Lewis Hamilton,2008,14,Italian Grand Prix,78,1,4,31
18,14,ALO,Fernando Alonso,2008,14,Italian Grand Prix,28,7,0,31
19,44,HAM,Lewis Hamilton,2008,15,Singapore Grand Prix,84,1,4,32
20,14,ALO,Fernando Alonso,2008,15,Singapore Grand Prix,38,7,1,32
21,44,HAM,Lewis Hamilton,2008,18,São Paulo Grand Prix,98,1,5,35
22,14,ALO,Fernando Alonso,2008,18,São Paulo Grand Prix,61,5,2,35
23,44,HAM,Lewis Hamilton,2007,3,Bahrain Grand Prix,22,3,0,38
24,14,ALO,Fernando Alonso,2007,3,Bahrain Grand Prix,22,1,1,38
25,14,ALO,Fernando Alonso,2007,6,Canadian Grand Prix,40,2,2,41
26,14,ALO,Fernando Alonso,2007,9,British Grand Prix,58,2,2,44
27,14,ALO,Fernando Alonso,2007,11,Hungarian Grand Prix,73,2,3,46
28,14,ALO,Fernando Alonso,2007,13,Italian Grand Prix,89,2,4,48
29,14,ALO,Fernando Alonso,2007,14,Belgian Grand Prix,95,2,4,49
30,14,ALO,Fernando Alonso,2007,17,São Paulo Grand Prix,109,3,4,52
31,14,ALO,Fernando Alonso,2006,1,Bahrain Grand Prix,10,1,1,53
32,14,ALO,Fernando Alonso,2006,3,Australian Grand Prix,28,1,2,55
33,14,ALO,Fernando Alonso,2006,4,Emilia Romagna Grand Prix,36,1,2,56
34,14,ALO,Fernando Alonso,2006,6,Spanish Grand Prix,54,1,3,58
35,14,ALO,Fernando Alonso,2006,7,Monaco Grand Prix,64,1,4,59
36,14,ALO,Fernando Alonso,2006,8,British Grand Prix,74,1,5,60
37,14,ALO,Fernando Alonso,2006,9,Canadian Grand Prix,84,1,6,61
38,14,ALO,Fernando Alonso,2006,13,Hungarian Grand Prix,100,1,6,65
39,14,ALO,Fernando Alonso,2006,15,Italian Grand Prix,108,1,6,67
40,14,ALO,Fernando Alonso,2006,17,Japanese Grand Prix,126,1,7,69
41,14,ALO,Fernando Alonso,2006,18,São Paulo Grand Prix,134,1,7,70
