,GrandPrix_name,Driver_name,Total race time (ms)
202,Abu Dhabi Grand Prix,Max Verstappen,5265914.0
37,Abu Dhabi Grand Prix,Charles Leclerc,5274685.0
247,Abu Dhabi Grand Prix,Sergio Pérez,5276007.0
18,Abu Dhabi Grand Prix,Carlos Sainz,5290806.0
100,Abu Dhabi Grand Prix,George Russell,5301802.0
161,Abu Dhabi Grand Prix,Lando Norris,5322148.0
58,Abu Dhabi Grand Prix,Esteban Ocon,5323154.0
182,Abu Dhabi Grand Prix,Lewis Hamilton,5332822.654545454
140,Abu Dhabi Grand Prix,Lance Stroll,5342845.0
289,Abu Dhabi Grand Prix,Yuki Tsunoda,5355285.0
0,Abu Dhabi Grand Prix,Alexander Albon,5378578.105263158
226,Abu Dhabi Grand Prix,Pierre Gasly,5379207.96491228
268,Abu Dhabi Grand Prix,Valtteri Bottas,5388522.561403509
79,Abu Dhabi Grand Prix,Fernando Alonso,5399488.518518519
120,Abu Dhabi Grand Prix,Kevin Magnussen,5409916.421052631
38,Australian Grand Prix,Charles Leclerc,5266548.0
248,Australian Grand Prix,Sergio Pérez,5287072.0
101,Australian Grand Prix,George Russell,5292141.0
183,Australian Grand Prix,Lewis Hamilton,5295091.0
162,Australian Grand Prix,Lando Norris,5319851.0
59,Australian Grand Prix,Esteban Ocon,5328231.0
269,Australian Grand Prix,Valtteri Bottas,5334987.0
227,Australian Grand Prix,Pierre Gasly,5342769.0
1,Australian Grand Prix,Alexander Albon,5345930.0
141,Australian Grand Prix,Lance Stroll,5350146.0
121,Australian Grand Prix,Kevin Magnussen,5362940.49122807
290,Australian Grand Prix,Yuki Tsunoda,5365365.298245613
80,Australian Grand Prix,Fernando Alonso,5390000.03508772
203,Australian Grand Prix,Max Verstappen,5503494.842105263
19,Australian Grand Prix,Carlos Sainz,5743624.0
20,Austrian Grand Prix,Carlos Sainz,5052392.964285715
39,Austrian Grand Prix,Charles Leclerc,5064312.0
204,Austrian Grand Prix,Max Verstappen,5065844.0
184,Austrian Grand Prix,Lewis Hamilton,5105529.0
102,Austrian Grand Prix,George Russell,5123284.0
60,Austrian Grand Prix,Esteban Ocon,5132748.0
163,Austrian Grand Prix,Lando Norris,5144983.557142857
122,Austrian Grand Prix,Kevin Magnussen,5148441.257142857
81,Austrian Grand Prix,Fernando Alonso,5155347.528571429
270,Austrian Grand Prix,Valtteri Bottas,5156919.671428571
2,Austrian Grand Prix,Alexander Albon,5161587.414285715
142,Austrian Grand Prix,Lance Stroll,5166557.414285715
228,Austrian Grand Prix,Pierre Gasly,5170542.542857143
291,Austrian Grand Prix,Yuki Tsunoda,5177372.742857143
249,Austrian Grand Prix,Sergio Pérez,5374451.5
21,Azerbaijan Grand Prix,Carlos Sainz,5600093.25
205,Azerbaijan Grand Prix,Max Verstappen,5645941.0
250,Azerbaijan Grand Prix,Sergio Pérez,5666764.0
103,Azerbaijan Grand Prix,George Russell,5691936.0
185,Azerbaijan Grand Prix,Lewis Hamilton,5717620.0
229,Azerbaijan Grand Prix,Pierre Gasly,5723240.0
82,Azerbaijan Grand Prix,Fernando Alonso,5734537.0
164,Azerbaijan Grand Prix,Lando Norris,5738497.0
123,Azerbaijan Grand Prix,Kevin Magnussen,5743781.225806451
61,Azerbaijan Grand Prix,Esteban Ocon,5754125.0
271,Azerbaijan Grand Prix,Valtteri Bottas,5764565.7
3,Azerbaijan Grand Prix,Alexander Albon,5766214.0200000005
292,Azerbaijan Grand Prix,Yuki Tsunoda,5767903.14
40,Azerbaijan Grand Prix,Charles Leclerc,5828603.0
143,Azerbaijan Grand Prix,Lance Stroll,5829215.739130435
230,Bahrain Grand Prix,Pierre Gasly,5744518.295454545
41,Bahrain Grand Prix,Charles Leclerc,5853584.0
22,Bahrain Grand Prix,Carlos Sainz,5859182.0
186,Bahrain Grand Prix,Lewis Hamilton,5863259.0
104,Bahrain Grand Prix,George Russell,5864795.0
124,Bahrain Grand Prix,Kevin Magnussen,5868338.0
251,Bahrain Grand Prix,Sergio Pérez,5868480.803571428
272,Bahrain Grand Prix,Valtteri Bottas,5869703.0
62,Bahrain Grand Prix,Esteban Ocon,5873007.0
293,Bahrain Grand Prix,Yuki Tsunoda,5873970.0
83,Bahrain Grand Prix,Fernando Alonso,5875974.0
144,Bahrain Grand Prix,Lance Stroll,5899457.0
